long,lat,nombre,barrio
-58.49124098,-34.59062487,"ARTIGAS, JOSE GERVASIO, GRAL. 3706",Agronomia
-58.49261926,-34.58910887,"ARTIGAS, JOSE GERVASIO, GRAL. 3916",Agronomia
-58.49394895,-34.58763772,"ARTIGAS, JOSE GERVASIO, GRAL. 4130",Villa Pueyrredon
-58.49528225,-34.58615996,"ARTIGAS, JOSE GERVASIO, GRAL. 4348",Villa Pueyrredon
-58.49650689,-34.58480973,"ARTIGAS, JOSE GERVASIO, GRAL. 4520",Villa Pueyrredon
-58.49804671,-34.58313344,"ARTIGAS, JOSE GERVASIO, GRAL. 4720",Villa Pueyrredon
-58.44256596,-34.55682879,ARTILLEROS 1893,Belgrano
-58.44386654,-34.55530749,ARTILLEROS 2045,Belgrano
-58.44514922,-34.5539442,ARTILLEROS 2182,Belgrano
-58.44637362,-34.55239372,ARTILLEROS 2355,Belgrano
-58.36574151,-34.63154668,ARZOBISPO ESPINOSA 563,Boca
-58.43384916,-34.63432658,ASAMBLEA AV. 574,Parque Chacabuco
-58.43798805,-34.63516011,ASAMBLEA AV. 946,Parque Chacabuco
-58.44047488,-34.63565907,ASAMBLEA AV. 1110,Parque Chacabuco
-58.44498083,-34.63656961,ASAMBLEA AV. 1454,Parque Chacabuco
-58.44775667,-34.63766361,ASAMBLEA AV. 1640,Parque Chacabuco
-58.44970747,-34.63912762,ASAMBLEA AV. 1814,Flores
-58.48942122,-34.58749317,ASUNCION 2240,Agronomia
-58.49860669,-34.5931787,ASUNCION 3026,Agronomia
-58.50415899,-34.59651983,ASUNCION 3451,Villa Devoto
-58.50670655,-34.59808962,ASUNCION 3635,Villa Devoto
-58.50824132,-34.59904073,ASUNCION 3753,Villa Devoto
-58.5105514,-34.60046792,ASUNCION 3943,Villa Devoto
-58.5159135,-34.60377768,ASUNCION 4413,Villa Devoto
-58.51897824,-34.6056639,ASUNCION 4665,Villa Devoto
-58.52241947,-34.60793735,ASUNCION 4948,Villa Devoto
-58.52548768,-34.61003361,ASUNCION 5142,Villa Devoto
-58.52764067,-34.61150224,ASUNCION 5264,Villa Devoto
-58.40680886,-34.64513064,ATUEL 642,Parque Patricios
-58.38532496,-34.64647655,AUSTRALIA AV. 2716,Barracas
-58.40383272,-34.58793022,AUSTRIA 2105,Recoleta
-58.43110193,-34.61131338,AVELLANEDA 64,Caballito
-58.44643373,-34.6175154,AVELLANEDA 1092,Caballito
-58.48789579,-34.63132764,AVELLANEDA 4324,Velez Sarsfield
-58.43555692,-34.6131919,AVELLANEDA AV. 372,Caballito
-58.44948675,-34.61844718,AVELLANEDA AV. 1261,Caballito
-58.4529288,-34.62014446,AVELLANEDA AV. 1520,Caballito
-58.45483091,-34.62085008,AVELLANEDA AV. 1694,Caballito
-58.45852268,-34.62216316,AVELLANEDA AV. 1944,Flores
-58.46161065,-34.62323697,AVELLANEDA AV. 2146,Flores
-58.46381273,-34.62400677,AVELLANEDA AV. 2340,Flores
-58.4667643,-34.62495575,AVELLANEDA AV. 2552,Flores
-58.46950445,-34.62581218,AVELLANEDA AV. 2748,Flores
