long,lat,materiales,dias_y_horario,direccion,barrio
-58.39144238,-34.59876453,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,RODRIGUEZ PEÑA y PARAGUAY,Recoleta
-58.40854451,-34.62613428,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19hs.,"URQUIZA, GRAL. y COCHABAMBA",San Cristobal
-58.3965787,-34.62819918,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19hs.,"GARAY, JUAN DE AV. y PICHINCHA",Parque Patricios
-58.38874399,-34.65088541,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,"VELEZ SARSFIELD AV. y IRIARTE, GRAL. AV.",Barracas
-58.45742072,-34.62189744,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,AVELLANEDA AV. y CALCENA,Flores
-58.50081356,-34.59024037,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,HABANA y ARGERICH,Villa Pueyrredon
-58.47508614,-34.57302653,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,JURAMENTO y DONADO,Villa Urquiza
-58.44477654,-34.58094043,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Aceite vegetal usado,Miércoles a Domingos de 11 a 19hs.,"CONDE y ARENAL, CONCEPCION",Colegiales
-58.40460716,-34.57647249,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19hs.,"FIGUEROA ALCORTA, PRES. AV. y SALGUERO, JERONIMO",Palermo
-58.3817371,-34.61707313,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,LIMA 775,Monserrat
-58.37718637,-34.59188065,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,DEL LIBERTADOR AV. 238,Retiro
-58.37454769,-34.61674906,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,PERU 759,San Telmo
-58.36658072,-34.61847337,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"HUERGO, ING. AV. 949",San Telmo
-58.37502524,-34.61016509,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV. 609",Monserrat
